

="Constant",="20.44",="23.33"
="",="(0.51)",="(1.35)"



="Constant",="4.612",="4.630"
="",="(0.02)",="(0.04)"



="Constant",="3.351",="3.042"
="",="(0.04)",="(0.07)"



="Constant",="14.42",="14.53"
="",="(0.15)",="(0.33)"



="Constant",="21.03",="21.17"
="",="(0.52)",="(0.94)"



="Constant",="5.081",="4.617"
="",="(0.01)",="(0.04)"



="Constant",="3.415",="3.027"
="",="(0.04)",="(0.07)"



="Constant",="14.42",="14.65"
="",="(0.15)",="(0.33)"

