="",="mu_1",="mu_2",="t"
="FTE employment",="21.0",="21.2",="-0.1"
="Starting Wage",="5.1",="4.6",="10.8"
="Price of full meal",="3.4",="3.0",="5.1"
="Hours open (weekday)",="14.4",="14.7",="-0.6"
