="",="mu_1",="mu_2",="t"
="Burger King",="41.1",="44.3",="-0.5"
="KFC",="20.5",="15.2",="1.2"
="Roy Rogers",="24.8",="21.5",="0.6"
="Wendy's ",="13.6",="19.0",="-1.1"
="Company-owned",="34.1",="35.4",="-0.2"
